label,text
0,what year. and how many miles.
0,ok im not sure what time i finish tomorrow but i wanna spend the evening with you cos that would be vewy vewy lubly! love me xxx
1,87077: kick off a new season with 2wks free goals & news to ur mobile! txt ur club name to 87077 eg villa to 87077
1,get ur 1st ringtone free now! reply to this msg with tone. gr8 top 20 tones to your phone every week just £1.50 per wk 2 opt out send stop 08452810071 16
0,not yet chikku..wat abt u?
0,"yeah, we can probably swing by once my roommate finishes up with his girl"
0,babe ! what are you doing ? where are you ? who are you talking to ? do you think of me ? are you being a good boy? are you missing me? do you love me ?
0,"whenevr ur sad, whenevr ur gray, remembr im here 2 listn 2 watevr u wanna say, jus walk wid me a little while,&amp; i promise i'll bring back ur smile.:-)"
0,fine i miss you very much.
0,me fine..absolutly fine
0,go where n buy? juz buy when we get there lar.
0,not able to do anything.
0,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams
1,update_now - 12mths half price orange line rental: 400mins...call mobileupd8 on 08000839402 or call2optout=j5q
0,"how long has it been since you screamed, princess?"
0,you said to me before i went back to bed that you can't sleep for anything.
0,no i don't have cancer. moms making a big deal out of a regular checkup aka pap smear
0,ok...
1,no 1 polyphonic tone 4 ur mob every week! just txt pt2 to 87575. 1st tone free ! so get txtin now and tell ur friends. 150p/tone. 16 reply hl 4info
0,what happen dear tell me
0,its a great day. do have yourself a beautiful one.
0,i've told you everything will stop. just dont let her get dehydrated.
0,i'll pick you up at about 5.15pm to go to taunton if you still want to come.
0,you should get more chicken broth if you want ramen unless there's some i don't know about
0,can you talk with me..
0,i'm in office now . i will call you  &lt;#&gt;  min:)
0,still work going on:)it is very small house.
0,hmmm.still we dont have opener?
0,i am not sure about night menu. . . i know only about noon menu
0,hello peach! my cake tasts lush!
0,i miss you so much i'm so desparate i have recorded the message you left for me the other day and listen to it just to hear the sound of your voice. i love you
0,and you! will expect you whenever you text! hope all goes well tomo 
0,you still at grand prix?
1,todays vodafone numbers ending with 4882 are selected to a receive a £350 award. if your number matches call 09064019014 to receive your £350 award.
0,no need to buy lunch for me.. i eat maggi mee..
1,"sms services. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with stop. no extra charge. help:08700469649. po box420. ip4 5we"
1,"free message activate your 500 free text messages by replying to this message with the word free for terms & conditions, visit www.07781482378.com"
0,dunno da next show aft 6 is 850. toa payoh got 650.
0,serious? what like proper tongued her
1,sunshine quiz! win a super sony dvd recorder if you canname the capital of australia? text mquiz to 82277. b
0,"i'm not smoking while people use ""wylie smokes too much"" to justify ruining my shit"
0,"all done, all handed in. don't know if mega shop in asda counts as celebration but thats what i'm doing!"
0,k.k..how is your sister kids?
0,"plz note: if anyone calling from a mobile co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . do not do so. disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. itz confirmd by nokia n motorola n has been verified by cnn ibn."
0,i'm going 2 orchard now laready me reaching soon. u reaching?
0,we will meet soon princess! ttyl!
0,boooo you always work. just quit.
0,pls speak to that customer machan.
0,"yun ah.the ubi one say if ü wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. ubi cres,ubi tech park.6ph for 1st 5wkg days.èn"
0,"it‘s £6 to get in, is that ok?"
0,thanks for understanding. i've been trying to tell sura that.
1,"someone u know has asked our dating service 2 contact you! cant guess who? call 09058095107 now all will be revealed. pobox 7, s3xy 150p "
0,come back to tampa ffffuuuuuuu
0,ok how you dear. did you call chechi
0,sorry . i will be able to get to you. see you in the morning.
0,yup but not studying surfing lor. i'm in e lazy mode today.
0,no way i'm going back there!
0,i ain't answerin no phone at what is actually a pretty reasonable hour but i'm sleepy
0,ü all write or wat..
0,not..tel software name..
0,"japanese proverb: if one can do it, u too can do it, if none can do it,u must do it indian version: if one can do it, let him do it.. if none can do it,leave it!! and finally kerala version: if one can do it, stop him doing it.. if none can do it, make a strike against it ..."
0,hope ur head doesn't hurt 2 much ! am ploughing my way through a pile of ironing ! staying in with a chinky tonight come round if you like.
0,well i will watch shrek in 3d!!b)
0,lol ok. i'll snatch her purse too.
0,1 in cbe. 2 in chennai.
0,babe? you said 2 hours and it's been almost 4 ... is your internet down ?
1,"ou are guaranteed the latest nokia phone, a 40gb ipod mp3 player or a £500 prize! txt word: collect to no: 83355! ibhltd ldnw15h 150p/mtmsgrcvd18"
0,"short but cute : "" be a good person , but dont try to prove"" ..... gud mrng..."
0,come aftr  &lt;decimal&gt; ..now i m cleaning the house
0,when you are big..| god will bring success.
0,nope i'll come online now..
0,* thought i didn't see you.
0,tell me something. thats okay.
0,still chance there. if you search hard you will get it..let have a try :)
0,u don't remember that old commercial?
0,ok. every night take a warm bath drink a cup of milk and you'll see a work of magic. you still need to loose weight. just so that you know
0,fuck cedar key and fuck her (come over anyway tho)
0,", ,  and  picking them up from various points | going 2 yeovil | and they will do the motor project 4 3 hours | and then u take them home. || 12 2 5.30 max. || very easy"
0,", im .. on the snowboarding trip. i was wondering if your planning to get everyone together befor we go..a meet and greet kind of affair? cheers, "
0,message:some text missing* sender:name missing* *number missing *sent:date missing *missing u a lot thats y everything is missing sent via fullonsms.com
0,then ü ask dad to pick ü up lar... ü wan 2 stay until 6 meh...
0,nationwide auto centre (or something like that) on newport road. i liked them there
0,tmrw. im finishing 9 doors
0,"dad wanted to talk about the apartment so i got a late start, omw now"
0,s...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:)
0,ha... both of us doing e same thing. but i got tv 2 watch. u can thk of where 2 go tonight or u already haf smth in mind...
0,no. it's not pride. i'm almost  &lt;#&gt;  years old and shouldn't be takin money from my kid. you're not supposed to have to deal with this stuff. this is grownup stuff--why i don't tell you.
0,meeting u is my work. . . tel me when shall i do my work tomorrow
0,so when do you wanna gym?
0,that's the way you should stay oh.
0,what i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want.
0,what your plan for pongal?
0,ok then u tell me wat time u coming later lor.
1,summers finally here! fancy a chat or flirt with sexy singles in yr area? to get matched up just reply summer now. free 2 join. optout txt stop help08714742804
1,ur going 2 bahamas! callfreefone 08081560665 and speak to a live operator to claim either bahamas cruise of£2000 cash 18+only. to opt out txt x to 07786200117
1,25p 4 alfie moon's children in need song on ur mob. tell ur m8s. txt tone charity to 8007 for nokias or poly charity for polys: zed 08701417012 profit 2 charity.
0,so lets make it saturday or monday as per convenience.
0,"come around  &lt;decimal&gt; pm vikky..i'm otside nw, il come by tht time"
0,havent planning to buy later. i check already lido only got 530 show in e afternoon. u finish work already?
0,i dont know what to do to come out of this so only am ask questions like this dont mistake me.
0,i might come to kerala for 2 days.so you can be prepared to take a leave once i finalise .dont plan any travel during my visit.need to finish urgent works.
1,dorothy@kiefer.com (bank of granite issues strong-buy) explosive pick for our members *****up over 300% *********** nasdaq symbol cdgt that is a $5.00 per..
0,"dear friends, sorry for the late information. today is the birthday of our loving ar.praveesh. for more details log on to face book and see. its his number + &lt;#&gt; . dont miss a delicious treat."
0,ok anyway no need to change with what you said
0,"i am real, baby! i want to bring out your inner tigress..."
0,weightloss! no more girl friends. make loads of money on ebay or something. and give thanks to god.
0,"hey sexy buns ! have i told you ? i adore you, loverboy. i hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe"
0,i'm leaving my house now.
0,"beautiful truth against gravity.. read carefully: ""our heart feels light when someone is in it.. but it feels very heavy when someone leaves it.."" goodmorning"
0,okie
0,"if we hit it off, you can move in with me :)"
0,"sorry, i'll call later"
0,"haha figures, well i found the piece and priscilla's bowl"
0,great. never been better. each day gives even more reasons to thank god
1,"congrats! 2 mobile 3g videophones r yours. call 09061744553 now! videochat wid ur mates, play java games, dload polyh music, noline rentl. bx420. ip4. 5we. 150pm"
0,can a not?
0,"good evening sir, al salam wahleykkum.sharing a happy news.by the grace of god, i got an offer from tayseer,tissco and i joined.hope you are fine.inshah allah,meet you sometime.rakhesh,visitor from india."
0,what time. i‘m out until prob 3 or so
0,"thanks, i'll keep that in mind"
0,"that‘s the thing with apes, u can fight to the death to keep something, but the minute they have it when u let go, thats it!"
0,still in customer place
0,men like shorter ladies. gaze up into his eyes.
0,ok... thanx... gd nite 2 ü too...
